,Indicator,Group,Subgroup,Phase,Time Period,Value,Spread
41,Took Prescription Medication,By State,Maryland,2,13,17.1,2.1000000000000005
42,Took Prescription Medication,By State,Massachusetts,2,13,19.9,1.9499999999999993
43,Took Prescription Medication,By State,Michigan,2,13,20.4,2.8000000000000007
44,Took Prescription Medication,By State,Minnesota,2,13,20.6,2.3499999999999996
45,Took Prescription Medication,By State,Mississippi,2,13,20.8,3.6500000000000004
46,Took Prescription Medication,By State,Missouri,2,13,23.7,2.8000000000000007
47,Took Prescription Medication,By State,Montana,2,13,18.4,3.0
48,Took Prescription Medication,By State,Nebraska,2,13,23.6,3.5999999999999996
49,Took Prescription Medication,By State,Nevada,2,13,15.0,2.3499999999999996
50,Took Prescription Medication,By State,New Hampshire,2,13,21.1,3.9000000000000004
51,Took Prescription Medication,By State,New Jersey,2,13,18.7,2.6500000000000004
52,Took Prescription Medication,By State,New Mexico,2,13,18.5,3.1999999999999993
53,Took Prescription Medication,By State,New York,2,13,17.8,2.5999999999999996
54,Took Prescription Medication,By State,North Carolina,2,13,19.4,2.8000000000000007
55,Took Prescription Medication,By State,North Dakota,2,13,19.6,4.049999999999999
56,Took Prescription Medication,By State,Ohio,2,13,21.7,3.5
57,Took Prescription Medication,By State,Oklahoma,2,13,21.9,2.8499999999999996
58,Took Prescription Medication,By State,Oregon,2,13,22.9,2.8999999999999986
59,Took Prescription Medication,By State,Pennsylvania,2,13,22.1,3.0999999999999996
60,Took Prescription Medication,By State,Rhode Island,2,13,23.1,3.9000000000000004
61,Took Prescription Medication,By State,South Carolina,2,13,20.5,2.799999999999999
62,Took Prescription Medication,By State,South Dakota,2,13,17.8,3.75
63,Took Prescription Medication,By State,Tennessee,2,13,21.2,2.8500000000000014
64,Took Prescription Medication,By State,Texas,2,13,16.4,2.05
65,Took Prescription Medication,By State,Utah,2,13,23.9,2.8499999999999996
66,Took Prescription Medication,By State,Vermont,2,13,23.2,5.0
67,Took Prescription Medication,By State,Virginia,2,13,18.9,2.4499999999999993
68,Took Prescription Medication,By State,Washington,2,13,20.9,1.6500000000000004
69,Took Prescription Medication,By State,West Virginia,2,13,22.4,3.75
70,Took Prescription Medication,By State,Wisconsin,2,13,19.7,2.4499999999999993
71,Took Prescription Medication,By State,Wyoming,2,13,18.7,3.8499999999999996
72,Received Counseling or Therapy,National Estimate,United States,2,13,8.7,0.4499999999999993
73,Received Counseling or Therapy,By Age,18 - 29 years,2,13,12.2,1.3999999999999995
74,Received Counseling or Therapy,By Age,30 - 39 years,2,13,11.7,0.7999999999999998
75,Received Counseling or Therapy,By Age,40 - 49 years,2,13,10.0,0.5499999999999998
76,Received Counseling or Therapy,By Age,50 - 59 years,2,13,8.4,0.7999999999999998
77,Received Counseling or Therapy,By Age,60 - 69 years,2,13,5.4,0.5499999999999998
78,Received Counseling or Therapy,By Age,70 - 79 years,2,13,4.1,0.8
79,Received Counseling or Therapy,By Age,80 years and above,2,13,3.0,1.2000000000000002
80,Received Counseling or Therapy,By Sex,Male,2,13,6.7,0.5499999999999998
81,Received Counseling or Therapy,By Sex,Female,2,13,10.6,0.5499999999999998
82,Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,4.8,0.2999999999999998
83,Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,15.7,0.9000000000000004
84,Received Counseling or Therapy,By Race/Hispanic ethnicity,Hispanic or Latino,2,13,7.3,1.1
85,Received Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2,13,9.4,0.4500000000000002
86,Received Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2,13,7.7,0.9999999999999996
87,Received Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2,13,6.2,1.2000000000000002
88,Received Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2,13,10.6,1.7000000000000002
89,Received Counseling or Therapy,By Education,Less than a high school diploma,2,13,7.1,1.6000000000000005
90,Received Counseling or Therapy,By Education,High school diploma or GED,2,13,6.6,0.7999999999999998
91,Received Counseling or Therapy,By Education,Some college/Associate's degree,2,13,8.7,0.7000000000000002
92,Received Counseling or Therapy,By Education,Bachelor's degree or higher,2,13,11.1,0.4500000000000002
93,Received Counseling or Therapy,By State,Alabama,2,13,8.5,2.2
94,Received Counseling or Therapy,By State,Alaska,2,13,7.5,1.4
95,Received Counseling or Therapy,By State,Arizona,2,13,7.3,1.8500000000000005
96,Received Counseling or Therapy,By State,Arkansas,2,13,6.1,1.8499999999999996
97,Received Counseling or Therapy,By State,California,2,13,9.5,1.4500000000000002
98,Received Counseling or Therapy,By State,Colorado,2,13,10.1,1.8499999999999996
99,Received Counseling or Therapy,By State,Connecticut,2,13,12.3,2.8000000000000007
100,Received Counseling or Therapy,By State,Delaware,2,13,10.0,2.8
101,Received Counseling or Therapy,By State,District of Columbia,2,13,19.1,5.7
102,Received Counseling or Therapy,By State,Florida,2,13,7.8,1.5499999999999998
103,Received Counseling or Therapy,By State,Georgia,2,13,7.9,2.1499999999999995
104,Received Counseling or Therapy,By State,Hawaii,2,13,11.9,3.8500000000000005
105,Received Counseling or Therapy,By State,Idaho,2,13,8.3,1.9500000000000002
106,Received Counseling or Therapy,By State,Illinois,2,13,8.8,1.7499999999999996
107,Received Counseling or Therapy,By State,Indiana,2,13,6.8,1.7499999999999996
108,Received Counseling or Therapy,By State,Iowa,2,13,8.1,1.5499999999999998
109,Received Counseling or Therapy,By State,Kansas,2,13,7.7,1.8499999999999996
110,Received Counseling or Therapy,By State,Kentucky,2,13,5.8,1.85
111,Received Counseling or Therapy,By State,Louisiana,2,13,9.5,2.4
112,Received Counseling or Therapy,By State,Maine,2,13,12.4,3.450000000000001
113,Received Counseling or Therapy,By State,Maryland,2,13,8.7,1.2999999999999998
114,Received Counseling or Therapy,By State,Massachusetts,2,13,12.7,1.4499999999999993
115,Received Counseling or Therapy,By State,Michigan,2,13,9.0,1.9999999999999996
116,Received Counseling or Therapy,By State,Minnesota,2,13,9.5,1.3500000000000005
117,Received Counseling or Therapy,By State,Mississippi,2,13,6.8,2.2500000000000004
118,Received Counseling or Therapy,By State,Missouri,2,13,7.9,2.1499999999999995
119,Received Counseling or Therapy,By State,Montana,2,13,9.2,2.3
120,Received Counseling or Therapy,By State,Nebraska,2,13,6.8,1.9500000000000002
121,Received Counseling or Therapy,By State,Nevada,2,13,6.7,1.5000000000000004
122,Received Counseling or Therapy,By State,New Hampshire,2,13,7.1,1.8999999999999995
123,Received Counseling or Therapy,By State,New Jersey,2,13,9.3,1.65
124,Received Counseling or Therapy,By State,New Mexico,2,13,10.1,2.25
125,Received Counseling or Therapy,By State,New York,2,13,10.5,1.5
126,Received Counseling or Therapy,By State,North Carolina,2,13,8.9,2.1499999999999995
127,Received Counseling or Therapy,By State,North Dakota,2,13,4.9,1.8000000000000003
128,Received Counseling or Therapy,By State,Ohio,2,13,9.6,2.3499999999999996
129,Received Counseling or Therapy,By State,Oklahoma,2,13,7.5,2.2
130,Received Counseling or Therapy,By State,Oregon,2,13,13.0,2.0999999999999996
131,Received Counseling or Therapy,By State,Pennsylvania,2,13,9.3,1.4500000000000002
132,Received Counseling or Therapy,By State,Rhode Island,2,13,13.5,3.2
133,Received Counseling or Therapy,By State,South Carolina,2,13,5.4,1.85
134,Received Counseling or Therapy,By State,South Dakota,2,13,6.2,2.15
135,Received Counseling or Therapy,By State,Tennessee,2,13,8.2,1.8499999999999996
136,Received Counseling or Therapy,By State,Texas,2,13,6.7,1.3499999999999996
137,Received Counseling or Therapy,By State,Utah,2,13,9.4,1.4500000000000002
138,Received Counseling or Therapy,By State,Vermont,2,13,11.4,2.8499999999999996
139,Received Counseling or Therapy,By State,Virginia,2,13,9.3,1.7499999999999996
140,Received Counseling or Therapy,By State,Washington,2,13,10.3,1.5499999999999998
141,Received Counseling or Therapy,By State,West Virginia,2,13,5.1,1.6500000000000001
142,Received Counseling or Therapy,By State,Wisconsin,2,13,7.2,1.3499999999999996
143,Received Counseling or Therapy,By State,Wyoming,2,13,5.3,1.7000000000000002
144,Prescription Medication And/Or Counseling or Therapy,National Estimate,United States,2,13,22.4,0.4499999999999993
145,Prescription Medication And/Or Counseling or Therapy,By Age,18 - 29 years,2,13,23.3,1.8499999999999996
146,Prescription Medication And/Or Counseling or Therapy,By Age,30 - 39 years,2,13,23.1,1.0
147,Prescription Medication And/Or Counseling or Therapy,By Age,40 - 49 years,2,13,23.6,0.8499999999999996
148,Prescription Medication And/Or Counseling or Therapy,By Age,50 - 59 years,2,13,23.9,1.1500000000000004
149,Prescription Medication And/Or Counseling or Therapy,By Age,60 - 69 years,2,13,21.2,1.0
150,Prescription Medication And/Or Counseling or Therapy,By Age,70 - 79 years,2,13,19.6,1.5
151,Prescription Medication And/Or Counseling or Therapy,By Age,80 years and above,2,13,14.8,2.9499999999999993
152,Prescription Medication And/Or Counseling or Therapy,By Sex,Male,2,13,16.3,0.7500000000000009
153,Prescription Medication And/Or Counseling or Therapy,By Sex,Female,2,13,28.0,0.6999999999999993
154,Prescription Medication And/Or Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,13.9,0.5
155,Prescription Medication And/Or Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,37.5,1.0
156,Prescription Medication And/Or Counseling or Therapy,By Race/Hispanic ethnicity,Hispanic or Latino,2,13,17.2,1.4000000000000004
157,Prescription Medication And/Or Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2,13,25.6,0.5500000000000007
158,Prescription Medication And/Or Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2,13,15.6,1.450000000000001
159,Prescription Medication And/Or Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2,13,11.1,1.4000000000000004
160,Prescription Medication And/Or Counseling or Therapy,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2,13,25.0,2.799999999999999
161,Prescription Medication And/Or Counseling or Therapy,By Education,Less than a high school diploma,2,13,20.0,2.799999999999999
162,Prescription Medication And/Or Counseling or Therapy,By Education,High school diploma or GED,2,13,20.1,1.049999999999999
163,Prescription Medication And/Or Counseling or Therapy,By Education,Some college/Associate's degree,2,13,23.5,0.8499999999999996
164,Prescription Medication And/Or Counseling or Therapy,By Education,Bachelor's degree or higher,2,13,24.0,0.6000000000000014
165,Prescription Medication And/Or Counseling or Therapy,By State,Alabama,2,13,25.2,3.3500000000000014
166,Prescription Medication And/Or Counseling or Therapy,By State,Alaska,2,13,19.2,2.6499999999999986
167,Prescription Medication And/Or Counseling or Therapy,By State,Arizona,2,13,20.2,2.3500000000000014
168,Prescription Medication And/Or Counseling or Therapy,By State,Arkansas,2,13,25.3,3.4000000000000004
169,Prescription Medication And/Or Counseling or Therapy,By State,California,2,13,20.1,1.799999999999999
170,Prescription Medication And/Or Counseling or Therapy,By State,Colorado,2,13,22.0,2.3499999999999996
171,Prescription Medication And/Or Counseling or Therapy,By State,Connecticut,2,13,23.1,3.5500000000000007
172,Prescription Medication And/Or Counseling or Therapy,By State,Delaware,2,13,24.0,3.5999999999999996
173,Prescription Medication And/Or Counseling or Therapy,By State,District of Columbia,2,13,27.6,5.549999999999999
174,Prescription Medication And/Or Counseling or Therapy,By State,Florida,2,13,21.3,2.75
175,Prescription Medication And/Or Counseling or Therapy,By State,Georgia,2,13,22.8,2.700000000000001
176,Prescription Medication And/Or Counseling or Therapy,By State,Hawaii,2,13,19.6,3.8000000000000007
177,Prescription Medication And/Or Counseling or Therapy,By State,Idaho,2,13,25.2,2.950000000000001
178,Prescription Medication And/Or Counseling or Therapy,By State,Illinois,2,13,20.3,2.3499999999999996
179,Prescription Medication And/Or Counseling or Therapy,By State,Indiana,2,13,25.3,2.950000000000001
180,Prescription Medication And/Or Counseling or Therapy,By State,Iowa,2,13,25.0,3.1500000000000004
181,Prescription Medication And/Or Counseling or Therapy,By State,Kansas,2,13,23.9,3.6500000000000004
182,Prescription Medication And/Or Counseling or Therapy,By State,Kentucky,2,13,28.4,3.9499999999999993
183,Prescription Medication And/Or Counseling or Therapy,By State,Louisiana,2,13,26.6,3.4000000000000004
184,Prescription Medication And/Or Counseling or Therapy,By State,Maine,2,13,28.0,4.299999999999999
185,Prescription Medication And/Or Counseling or Therapy,By State,Maryland,2,13,20.5,2.25
186,Prescription Medication And/Or Counseling or Therapy,By State,Massachusetts,2,13,24.6,2.049999999999999
187,Prescription Medication And/Or Counseling or Therapy,By State,Michigan,2,13,23.4,2.6999999999999993
188,Prescription Medication And/Or Counseling or Therapy,By State,Minnesota,2,13,23.7,2.3000000000000007
189,Prescription Medication And/Or Counseling or Therapy,By State,Mississippi,2,13,21.7,3.700000000000001
190,Prescription Medication And/Or Counseling or Therapy,By State,Missouri,2,13,25.9,2.8999999999999986
191,Prescription Medication And/Or Counseling or Therapy,By State,Montana,2,13,21.9,3.3499999999999996
192,Prescription Medication And/Or Counseling or Therapy,By State,Nebraska,2,13,25.3,3.799999999999999
193,Prescription Medication And/Or Counseling or Therapy,By State,Nevada,2,13,17.7,2.3500000000000005
194,Prescription Medication And/Or Counseling or Therapy,By State,New Hampshire,2,13,24.3,4.050000000000001
195,Prescription Medication And/Or Counseling or Therapy,By State,New Jersey,2,13,21.8,2.549999999999999
196,Prescription Medication And/Or Counseling or Therapy,By State,New Mexico,2,13,23.0,3.1500000000000004
197,Prescription Medication And/Or Counseling or Therapy,By State,New York,2,13,21.9,2.5500000000000007
198,Prescription Medication And/Or Counseling or Therapy,By State,North Carolina,2,13,22.5,2.8499999999999996
199,Prescription Medication And/Or Counseling or Therapy,By State,North Dakota,2,13,20.7,4.199999999999999
200,Prescription Medication And/Or Counseling or Therapy,By State,Ohio,2,13,23.6,3.75
201,Prescription Medication And/Or Counseling or Therapy,By State,Oklahoma,2,13,24.3,2.6500000000000004
202,Prescription Medication And/Or Counseling or Therapy,By State,Oregon,2,13,28.3,2.9000000000000004
203,Prescription Medication And/Or Counseling or Therapy,By State,Pennsylvania,2,13,25.5,3.200000000000001
204,Prescription Medication And/Or Counseling or Therapy,By State,Rhode Island,2,13,25.9,3.9000000000000004
205,Prescription Medication And/Or Counseling or Therapy,By State,South Carolina,2,13,21.9,3.1000000000000014
206,Prescription Medication And/Or Counseling or Therapy,By State,South Dakota,2,13,20.1,3.9000000000000004
207,Prescription Medication And/Or Counseling or Therapy,By State,Tennessee,2,13,24.0,3.0
208,Prescription Medication And/Or Counseling or Therapy,By State,Texas,2,13,18.8,2.0999999999999996
209,Prescription Medication And/Or Counseling or Therapy,By State,Utah,2,13,27.5,2.8499999999999996
210,Prescription Medication And/Or Counseling or Therapy,By State,Vermont,2,13,27.8,5.550000000000001
211,Prescription Medication And/Or Counseling or Therapy,By State,Virginia,2,13,21.8,2.700000000000001
212,Prescription Medication And/Or Counseling or Therapy,By State,Washington,2,13,25.0,1.6500000000000004
213,Prescription Medication And/Or Counseling or Therapy,By State,West Virginia,2,13,23.5,3.75
214,Prescription Medication And/Or Counseling or Therapy,By State,Wisconsin,2,13,22.1,2.6999999999999993
215,Prescription Medication And/Or Counseling or Therapy,By State,Wyoming,2,13,20.5,3.75
216,"No Treatment, Despite Individual's Need of Treatment",National Estimate,United States,2,13,9.2,0.39999999999999947
217,"No Treatment, Despite Individual's Need of Treatment",By Age,18 - 29 years,2,13,15.6,1.0999999999999996
218,"No Treatment, Despite Individual's Need of Treatment",By Age,30 - 39 years,2,13,12.9,1.0
219,"No Treatment, Despite Individual's Need of Treatment",By Age,40 - 49 years,2,13,10.0,0.6999999999999993
220,"No Treatment, Despite Individual's Need of Treatment",By Age,50 - 59 years,2,13,7.7,0.7999999999999998
221,"No Treatment, Despite Individual's Need of Treatment",By Age,60 - 69 years,2,13,5.3,0.5500000000000003
222,"No Treatment, Despite Individual's Need of Treatment",By Age,70 - 79 years,2,13,2.9,0.7
223,"No Treatment, Despite Individual's Need of Treatment",By Age,80 years and above,2,13,1.4,0.55
224,"No Treatment, Despite Individual's Need of Treatment",By Sex,Male,2,13,6.8,0.5499999999999998
225,"No Treatment, Despite Individual's Need of Treatment",By Sex,Female,2,13,11.4,0.5
226,"No Treatment, Despite Individual's Need of Treatment",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,2.4,0.25
227,"No Treatment, Despite Individual's Need of Treatment",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,21.0,0.8000000000000007
228,"No Treatment, Despite Individual's Need of Treatment",By Race/Hispanic ethnicity,Hispanic or Latino,2,13,9.6,1.0
229,"No Treatment, Despite Individual's Need of Treatment",By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2,13,9.1,0.40000000000000036
230,"No Treatment, Despite Individual's Need of Treatment",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2,13,9.3,1.0
231,"No Treatment, Despite Individual's Need of Treatment",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2,13,4.8,0.95
232,"No Treatment, Despite Individual's Need of Treatment",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2,13,14.2,2.1499999999999995
233,"No Treatment, Despite Individual's Need of Treatment",By Education,Less than a high school diploma,2,13,7.0,1.7000000000000002
234,"No Treatment, Despite Individual's Need of Treatment",By Education,High school diploma or GED,2,13,7.0,0.75
235,"No Treatment, Despite Individual's Need of Treatment",By Education,Some college/Associate's degree,2,13,11.2,0.6500000000000004
236,"No Treatment, Despite Individual's Need of Treatment",By Education,Bachelor's degree or higher,2,13,9.7,0.4500000000000002
237,"No Treatment, Despite Individual's Need of Treatment",By State,Alabama,2,13,8.4,2.05
238,"No Treatment, Despite Individual's Need of Treatment",By State,Alaska,2,13,8.5,1.9999999999999996
239,"No Treatment, Despite Individual's Need of Treatment",By State,Arizona,2,13,9.7,2.0000000000000004
240,"No Treatment, Despite Individual's Need of Treatment",By State,Arkansas,2,13,7.7,1.5500000000000003
241,"No Treatment, Despite Individual's Need of Treatment",By State,California,2,13,9.2,1.25
242,"No Treatment, Despite Individual's Need of Treatment",By State,Colorado,2,13,10.8,1.9000000000000004
243,"No Treatment, Despite Individual's Need of Treatment",By State,Connecticut,2,13,8.1,1.5500000000000003
244,"No Treatment, Despite Individual's Need of Treatment",By State,Delaware,2,13,7.7,2.1999999999999997
245,"No Treatment, Despite Individual's Need of Treatment",By State,District of Columbia,2,13,11.3,3.55
246,"No Treatment, Despite Individual's Need of Treatment",By State,Florida,2,13,11.0,2.0999999999999996
247,"No Treatment, Despite Individual's Need of Treatment",By State,Georgia,2,13,10.2,1.75
248,"No Treatment, Despite Individual's Need of Treatment",By State,Hawaii,2,13,6.6,2.7499999999999996
249,"No Treatment, Despite Individual's Need of Treatment",By State,Idaho,2,13,9.2,2.5
250,"No Treatment, Despite Individual's Need of Treatment",By State,Illinois,2,13,8.8,1.65
251,"No Treatment, Despite Individual's Need of Treatment",By State,Indiana,2,13,9.6,1.75
252,"No Treatment, Despite Individual's Need of Treatment",By State,Iowa,2,13,7.2,1.6999999999999997
253,"No Treatment, Despite Individual's Need of Treatment",By State,Kansas,2,13,9.2,2.25
254,"No Treatment, Despite Individual's Need of Treatment",By State,Kentucky,2,13,8.9,2.35
255,"No Treatment, Despite Individual's Need of Treatment",By State,Louisiana,2,13,9.3,3.0
256,"No Treatment, Despite Individual's Need of Treatment",By State,Maine,2,13,11.8,3.4000000000000004
257,"No Treatment, Despite Individual's Need of Treatment",By State,Maryland,2,13,10.1,2.5000000000000004
258,"No Treatment, Despite Individual's Need of Treatment",By State,Massachusetts,2,13,9.1,1.7000000000000002
259,"No Treatment, Despite Individual's Need of Treatment",By State,Michigan,2,13,10.2,2.2
260,"No Treatment, Despite Individual's Need of Treatment",By State,Minnesota,2,13,8.1,1.6500000000000004
261,"No Treatment, Despite Individual's Need of Treatment",By State,Mississippi,2,13,8.4,2.2500000000000004
262,"No Treatment, Despite Individual's Need of Treatment",By State,Missouri,2,13,11.2,2.3499999999999996
263,"No Treatment, Despite Individual's Need of Treatment",By State,Montana,2,13,9.3,2.35
264,"No Treatment, Despite Individual's Need of Treatment",By State,Nebraska,2,13,7.7,2.1
265,"No Treatment, Despite Individual's Need of Treatment",By State,Nevada,2,13,9.9,2.4499999999999997
266,"No Treatment, Despite Individual's Need of Treatment",By State,New Hampshire,2,13,7.3,2.1999999999999997
267,"No Treatment, Despite Individual's Need of Treatment",By State,New Jersey,2,13,7.6,2.0500000000000003
268,"No Treatment, Despite Individual's Need of Treatment",By State,New Mexico,2,13,11.1,2.7
269,"No Treatment, Despite Individual's Need of Treatment",By State,New York,2,13,9.4,1.7500000000000004
270,"No Treatment, Despite Individual's Need of Treatment",By State,North Carolina,2,13,9.5,2.3
271,"No Treatment, Despite Individual's Need of Treatment",By State,North Dakota,2,13,5.7,2.1
272,"No Treatment, Despite Individual's Need of Treatment",By State,Ohio,2,13,9.3,2.45
273,"No Treatment, Despite Individual's Need of Treatment",By State,Oklahoma,2,13,9.0,2.3
274,"No Treatment, Despite Individual's Need of Treatment",By State,Oregon,2,13,12.9,2.25
275,"No Treatment, Despite Individual's Need of Treatment",By State,Pennsylvania,2,13,7.8,1.7999999999999998
276,"No Treatment, Despite Individual's Need of Treatment",By State,Rhode Island,2,13,7.0,2.5500000000000003
277,"No Treatment, Despite Individual's Need of Treatment",By State,South Carolina,2,13,9.3,2.2499999999999996
278,"No Treatment, Despite Individual's Need of Treatment",By State,South Dakota,2,13,6.3,2.4
279,"No Treatment, Despite Individual's Need of Treatment",By State,Tennessee,2,13,8.9,1.7500000000000004
280,"No Treatment, Despite Individual's Need of Treatment",By State,Texas,2,13,7.4,1.0999999999999996
281,"No Treatment, Despite Individual's Need of Treatment",By State,Utah,2,13,11.5,2.45
282,"No Treatment, Despite Individual's Need of Treatment",By State,Vermont,2,13,10.5,3.7499999999999996
283,"No Treatment, Despite Individual's Need of Treatment",By State,Virginia,2,13,7.6,2.0000000000000004
284,"No Treatment, Despite Individual's Need of Treatment",By State,Washington,2,13,11.2,1.8499999999999996
285,"No Treatment, Despite Individual's Need of Treatment",By State,West Virginia,2,13,6.6,1.75
286,"No Treatment, Despite Individual's Need of Treatment",By State,Wisconsin,2,13,7.3,1.5499999999999998
287,"No Treatment, Despite Individual's Need of Treatment",By State,Wyoming,2,13,7.5,2.25
288,Took Prescription Medication,National Estimate,United States,2,14,19.6,0.5499999999999989
289,Took Prescription Medication,By Age,18 - 29 years,2,14,18.4,1.0
290,Took Prescription Medication,By Age,30 - 39 years,2,14,19.5,1.1500000000000004
291,Took Prescription Medication,By Age,40 - 49 years,2,14,19.9,1.0500000000000007
292,Took Prescription Medication,By Age,50 - 59 years,2,14,21.0,1.200000000000001
293,Took Prescription Medication,By Age,60 - 69 years,2,14,21.1,0.9500000000000011
294,Took Prescription Medication,By Age,70 - 79 years,2,14,18.1,1.6999999999999993
295,Took Prescription Medication,By Age,80 years and above,2,14,11.7,3.5999999999999996
296,Took Prescription Medication,By Sex,Male,2,14,14.8,0.6500000000000004
297,Took Prescription Medication,By Sex,Female,2,14,24.0,0.6999999999999993
298,Took Prescription Medication,By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,14,12.0,0.6499999999999995
299,Took Prescription Medication,By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2,14,33.3,1.0
300,Took Prescription Medication,By Race/Hispanic ethnicity,Hispanic or Latino,2,14,15.9,1.4999999999999991
301,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2,14,22.1,0.5499999999999989
302,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2,14,14.8,1.7999999999999998
303,Took Prescription Medication,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2,14,8.2,1.2000000000000002
